d1	d3	h	sat
0.010000	0.1	1	1.000000
0.010000	0.2	1	1.000000
0.010000	0.3	1	1.000000
0.010000	0.4	1	1.000000
0.010000	0.5	1	0.999999
0.010000	0.6	2	0.999999
0.010000	0.7	2	0.999998
0.010000	0.8	2	0.999998
0.010000	0.9	2	0.999997
0.010000	1.0	2	0.999997
0.010000	1.1	2	0.999996
0.010000	1.2	2	0.999996
0.010000	1.3	2	0.999995
0.010000	1.4	2	0.999995
0.010000	1.5	2	0.999994
0.010000	1.6	2	0.999993
0.010000	1.7	2	0.999992
0.010000	1.8	2	0.999992
0.010000	1.9	2	0.999991
0.010000	2.0	2	0.999990
0.010000	2.1	2	0.999989
0.010000	2.2	2	0.999988
0.010000	2.3	2	0.999987
0.010000	2.4	2	0.999986
0.010000	2.5	2	0.999985
0.010000	2.6	2	0.999984
0.010000	2.7	2	0.999983
0.010000	2.8	2	0.999981
0.010000	2.9	2	0.999980
0.010000	3.0	2	0.999979
0.010000	3.1	2	0.999977
0.010000	3.2	2	0.999976
0.010000	3.3	2	0.999975
0.010000	3.4	2	0.999973
0.010000	3.5	2	0.999972
0.010000	3.6	2	0.999970
0.010000	3.7	2	0.999969
0.010000	3.8	2	0.999967
0.010000	3.9	2	0.999965
0.010000	4.0	2	0.999964
0.010000	4.1	2	0.999962
0.010000	4.2	2	0.999960
0.010000	4.3	2	0.999958
0.010000	4.4	2	0.999956
0.010000	4.5	2	0.999954
0.010000	4.6	2	0.999952
0.010000	4.7	2	0.999950
0.010000	4.8	2	0.999948
0.010000	4.9	2	0.999946
0.010000	5.0	3	0.999939
0.011000	0.1	1	1.000000
0.011000	0.2	1	1.000000
0.011000	0.3	1	1.000000
0.011000	0.4	1	1.000000
0.011000	0.5	2	0.999999
0.011000	0.6	2	0.999998
0.011000	0.7	2	0.999998
0.011000	0.8	2	0.999997
0.011000	0.9	2	0.999997
0.011000	1.0	2	0.999996
0.011000	1.1	2	0.999996
0.011000	1.2	2	0.999995
0.011000	1.3	2	0.999994
0.011000	1.4	2	0.999993
0.011000	1.5	2	0.999992
0.011000	1.6	2	0.999991
0.011000	1.7	2	0.999990
0.011000	1.8	2	0.999989
0.011000	1.9	2	0.999988
0.011000	2.0	2	0.999987
0.011000	2.1	2	0.999986
0.011000	2.2	2	0.999985
0.011000	2.3	2	0.999983
0.011000	2.4	2	0.999982
0.011000	2.5	2	0.999980
0.011000	2.6	2	0.999979
0.011000	2.7	2	0.999977
0.011000	2.8	2	0.999976
0.011000	2.9	2	0.999974
0.011000	3.0	2	0.999973
0.011000	3.1	2	0.999971
0.011000	3.2	2	0.999969
0.011000	3.3	2	0.999967
0.011000	3.4	2	0.999965
0.011000	3.5	2	0.999963
0.011000	3.6	2	0.999961
0.011000	3.7	2	0.999959
0.011000	3.8	2	0.999957
0.011000	3.9	2	0.999955
0.011000	4.0	2	0.999952
0.011000	4.1	2	0.999950
0.011000	4.2	2	0.999948
0.011000	4.3	2	0.999945
0.011000	4.4	3	0.999937
0.011000	4.5	3	0.999935
0.011000	4.6	3	0.999932
0.011000	4.7	3	0.999928
0.011000	4.8	3	0.999925
0.011000	4.9	3	0.999922
0.011000	5.0	3	0.999919
0.012000	0.1	1	1.000000
0.012000	0.2	1	1.000000
0.012000	0.3	1	1.000000
0.012000	0.4	2	0.999999
0.012000	0.5	2	0.999999
0.012000	0.6	2	0.999998
0.012000	0.7	2	0.999997
0.012000	0.8	2	0.999997
0.012000	0.9	2	0.999996
0.012000	1.0	2	0.999995
0.012000	1.1	2	0.999995
0.012000	1.2	2	0.999994
0.012000	1.3	2	0.999993
0.012000	1.4	2	0.999992
0.012000	1.5	2	0.999990
0.012000	1.6	2	0.999989
0.012000	1.7	2	0.999988
0.012000	1.8	2	0.999987
0.012000	1.9	2	0.999985
0.012000	2.0	2	0.999984
0.012000	2.1	2	0.999982
0.012000	2.2	2	0.999981
0.012000	2.3	2	0.999979
0.012000	2.4	2	0.999977
0.012000	2.5	2	0.999975
0.012000	2.6	2	0.999973
0.012000	2.7	2	0.999971
0.012000	2.8	2	0.999969
0.012000	2.9	2	0.999967
0.012000	3.0	2	0.999965
0.012000	3.1	2	0.999963
0.012000	3.2	2	0.999960
0.012000	3.3	2	0.999958
0.012000	3.4	2	0.999955
0.012000	3.5	2	0.999953
0.012000	3.6	2	0.999950
0.012000	3.7	2	0.999948
0.012000	3.8	2	0.999945
0.012000	3.9	3	0.999937
0.012000	4.0	3	0.999933
0.012000	4.1	3	0.999930
0.012000	4.2	3	0.999926
0.012000	4.3	3	0.999923
0.012000	4.4	3	0.999919
0.012000	4.5	3	0.999915
0.012000	4.6	3	0.999911
0.012000	4.7	3	0.999907
0.012000	4.8	3	0.999903
0.012000	4.9	3	0.999899
0.012000	5.0	3	0.999895
0.013000	0.1	1	1.000000
0.013000	0.2	1	1.000000
0.013000	0.3	2	0.999999
0.013000	0.4	2	0.999999
0.013000	0.5	2	0.999998
0.013000	0.6	2	0.999998
0.013000	0.7	2	0.999997
0.013000	0.8	2	0.999996
0.013000	0.9	2	0.999995
0.013000	1.0	2	0.999994
0.013000	1.1	2	0.999993
0.013000	1.2	2	0.999992
0.013000	1.3	2	0.999991
0.013000	1.4	2	0.999990
0.013000	1.5	2	0.999988
0.013000	1.6	2	0.999987
0.013000	1.7	2	0.999985
0.013000	1.8	2	0.999983
0.013000	1.9	2	0.999982
0.013000	2.0	2	0.999980
0.013000	2.1	2	0.999978
0.013000	2.2	2	0.999976
0.013000	2.3	2	0.999974
0.013000	2.4	2	0.999971
0.013000	2.5	2	0.999969
0.013000	2.6	2	0.999967
0.013000	2.7	2	0.999964
0.013000	2.8	2	0.999962
0.013000	2.9	2	0.999959
0.013000	3.0	2	0.999956
0.013000	3.1	2	0.999953
0.013000	3.2	2	0.999950
0.013000	3.3	2	0.999947
0.013000	3.4	3	0.999939
0.013000	3.5	3	0.999936
0.013000	3.6	3	0.999932
0.013000	3.7	3	0.999928
0.013000	3.8	3	0.999924
0.013000	3.9	3	0.999920
0.013000	4.0	3	0.999916
0.013000	4.1	3	0.999911
0.013000	4.2	3	0.999907
0.013000	4.3	3	0.999902
0.013000	4.4	3	0.999897
0.013000	4.5	3	0.999892
0.013000	4.6	3	0.999887
0.013000	4.7	3	0.999882
0.013000	4.8	3	0.999877
0.013000	4.9	3	0.999871
0.013000	5.0	3	0.999866
0.014000	0.1	1	1.000000
0.014000	0.2	1	1.000000
0.014000	0.3	2	0.999999
0.014000	0.4	2	0.999999
0.014000	0.5	2	0.999998
0.014000	0.6	2	0.999997
0.014000	0.7	2	0.999996
0.014000	0.8	2	0.999995
0.014000	0.9	2	0.999994
0.014000	1.0	2	0.999993
0.014000	1.1	2	0.999992
0.014000	1.2	2	0.999990
0.014000	1.3	2	0.999989
0.014000	1.4	2	0.999987
0.014000	1.5	2	0.999986
0.014000	1.6	2	0.999984
0.014000	1.7	2	0.999982
0.014000	1.8	2	0.999980
0.014000	1.9	2	0.999977
0.014000	2.0	2	0.999975
0.014000	2.1	2	0.999973
0.014000	2.2	2	0.999970
0.014000	2.3	2	0.999968
0.014000	2.4	2	0.999965
0.014000	2.5	2	0.999962
0.014000	2.6	2	0.999959
0.014000	2.7	2	0.999956
0.014000	2.8	2	0.999953
0.014000	2.9	2	0.999949
0.014000	3.0	2	0.999946
0.014000	3.1	3	0.999938
0.014000	3.2	3	0.999933
0.014000	3.3	3	0.999929
0.014000	3.4	3	0.999925
0.014000	3.5	3	0.999920
0.014000	3.6	3	0.999915
0.014000	3.7	3	0.999910
0.014000	3.8	3	0.999905
0.014000	3.9	3	0.999900
0.014000	4.0	3	0.999895
0.014000	4.1	3	0.999889
0.014000	4.2	3	0.999883
0.014000	4.3	3	0.999878
0.014000	4.4	3	0.999872
0.014000	4.5	3	0.999865
0.014000	4.6	3	0.999859
0.014000	4.7	3	0.999852
0.014000	4.8	3	0.999846
0.014000	4.9	3	0.999839
0.014000	5.0	3	0.999832
0.015000	0.1	1	1.000000
0.015000	0.2	1	1.000000
0.015000	0.3	2	0.999999
0.015000	0.4	2	0.999998
0.015000	0.5	2	0.999998
0.015000	0.6	2	0.999997
0.015000	0.7	2	0.999996
0.015000	0.8	2	0.999995
0.015000	0.9	2	0.999993
0.015000	1.0	2	0.999992
0.015000	1.1	2	0.999990
0.015000	1.2	2	0.999989
0.015000	1.3	2	0.999987
0.015000	1.4	2	0.999985
0.015000	1.5	2	0.999983
0.015000	1.6	2	0.999980
0.015000	1.7	2	0.999978
0.015000	1.8	2	0.999975
0.015000	1.9	2	0.999973
0.015000	2.0	2	0.999970
0.015000	2.1	2	0.999967
0.015000	2.2	2	0.999964
0.015000	2.3	2	0.999961
0.015000	2.4	2	0.999957
0.015000	2.5	2	0.999954
0.015000	2.6	2	0.999950
0.015000	2.7	2	0.999946
0.015000	2.8	3	0.999938
0.015000	2.9	3	0.999933
0.015000	3.0	3	0.999928
0.015000	3.1	3	0.999923
0.015000	3.2	3	0.999918
0.015000	3.3	3	0.999913
0.015000	3.4	3	0.999907
0.015000	3.5	3	0.999902
0.015000	3.6	3	0.999896
0.015000	3.7	3	0.999890
0.015000	3.8	3	0.999884
0.015000	3.9	3	0.999877
0.015000	4.0	3	0.999870
0.015000	4.1	3	0.999863
0.015000	4.2	3	0.999856
0.015000	4.3	3	0.999849
0.015000	4.4	3	0.999842
0.015000	4.5	3	0.999834
0.015000	4.6	3	0.999826
0.015000	4.7	3	0.999818
0.015000	4.8	3	0.999809
0.015000	4.9	3	0.999801
0.015000	5.0	3	0.999792
0.016000	0.1	1	1.000000
0.016000	0.2	2	0.999999
0.016000	0.3	2	0.999999
0.016000	0.4	2	0.999998
0.016000	0.5	2	0.999997
0.016000	0.6	2	0.999996
0.016000	0.7	2	0.999995
0.016000	0.8	2	0.999994
